metric,value,step
rollout/ep_len_mean,73.25,293.0
rollout/ep_len_mean,92.125,737.0
rollout/ep_len_mean,170.0833282470703,2094.0
rollout/ep_len_mean,132.8125,2178.0
rollout/ep_len_mean,194.3000030517578,3939.0
rollout/ep_len_mean,181.375,4406.0
rollout/ep_len_mean,217.14285278320312,6133.0
rollout/ep_len_mean,258.25,8317.0
rollout/ep_len_mean,243.44444274902344,8817.0
rollout/ep_len_mean,256.42498779296875,10310.0
rollout/ep_len_mean,280.1136474609375,12378.0
rollout/ep_len_mean,302.0625,14552.0
rollout/ep_len_mean,300.2884521484375,15668.0
rollout/ep_len_mean,300.41070556640625,16876.0
rollout/ep_len_mean,301.26666259765625,18129.0
rollout/ep_len_mean,316.34375,20299.0
rollout/ep_len_mean,300.8382263183594,20510.0
rollout/ep_len_mean,312.5,22553.0
rollout/ep_len_mean,310.8947448730469,23681.0
rollout/ep_len_mean,320.9375,25728.0
rollout/ep_len_mean,321.9047546386719,27093.0
rollout/ep_len_mean,311.5454406738281,27469.0
rollout/ep_len_mean,322.1847839355469,29694.0
rollout/ep_len_mean,313.46875,30146.0
rollout/ep_len_mean,314.2799987792969,31481.0
rollout/ep_len_mean,327.04998779296875,33051.0
rollout/ep_len_mean,334.8299865722656,34273.0
rollout/ep_len_mean,344.5,37000.0
rollout/ep_len_mean,346.239990234375,38201.0
rollout/ep_len_mean,338.55999755859375,39194.0
rollout/ep_len_mean,342.0899963378906,40109.0
rollout/ep_len_mean,326.8599853515625,40313.0
rollout/ep_len_mean,318.75,42117.0
rollout/ep_len_mean,338.3999938964844,45431.0
rollout/ep_len_mean,362.1099853515625,49998.0
rollout/ep_len_mean,362.3999938964844,53050.0
rollout/ep_len_mean,363.57000732421875,56291.0
rollout/ep_len_mean,382.82000732421875,60041.0
rollout/ep_len_mean,410.739990234375,65000.0
rollout/ep_len_mean,416.4700012207031,67000.0
rollout/ep_len_mean,399.25,67448.0
rollout/ep_len_mean,422.3999938964844,69974.0
rollout/ep_len_mean,429.54998779296875,72732.0
rollout/ep_len_mean,428.9800109863281,73803.0
rollout/ep_len_mean,431.2699890136719,76079.0
rollout/ep_len_mean,438.75,78192.0
rollout/ep_len_mean,439.4599914550781,78639.0
rollout/ep_len_mean,423.9800109863281,79316.0
rollout/ep_len_mean,450.260009765625,82396.0
rollout/ep_len_mean,447.4100036621094,83446.0
rollout/ep_len_mean,445.8800048828125,84863.0
rollout/ep_len_mean,445.239990234375,86021.0
rollout/ep_len_mean,443.45001220703125,88113.0
rollout/ep_len_mean,452.2699890136719,89253.0
rollout/ep_len_mean,454.17999267578125,90437.0
rollout/ep_len_mean,449.1499938964844,90754.0
rollout/ep_len_mean,463.5199890136719,92395.0
rollout/ep_len_mean,461.7200012207031,93588.0
rollout/ep_len_mean,457.7200012207031,95653.0
rollout/ep_len_mean,439.760009765625,97721.0
rollout/ep_len_mean,430.0400085449219,98846.0
rollout/ep_len_mean,418.44000244140625,99977.0
rollout/ep_len_mean,399.1499938964844,101089.0
rollout/ep_len_mean,360.5299987792969,101227.0
rollout/ep_len_mean,354.3999938964844,102440.0
rollout/ep_len_mean,362.29998779296875,103678.0
rollout/ep_len_mean,358.7300109863281,105847.0
rollout/ep_len_mean,343.0799865722656,107040.0
rollout/ep_len_mean,345.79998779296875,108383.0
rollout/ep_len_mean,343.5400085449219,110433.0
rollout/ep_len_mean,344.6700134277344,112659.0
rollout/ep_len_mean,355.80999755859375,114220.0
rollout/ep_len_mean,363.260009765625,115642.0
rollout/ep_len_mean,344.25,116821.0
rollout/ep_len_mean,364.55999755859375,119902.0
rollout/ep_len_mean,380.7200012207031,122935.0
rollout/ep_len_mean,391.82000732421875,125203.0
rollout/ep_len_mean,373.8900146484375,125502.0
rollout/ep_len_mean,373.8699951171875,126640.0
rollout/ep_len_mean,382.989990234375,128736.0
rollout/ep_len_mean,415.6600036621094,132320.0
rollout/ep_len_mean,429.80999755859375,135376.0
rollout/ep_len_mean,428.6600036621094,136454.0
rollout/ep_len_mean,419.57000732421875,137610.0
rollout/ep_len_mean,401.0799865722656,137829.0
rollout/ep_len_mean,401.20001220703125,138966.0
rollout/ep_len_mean,420.0799865722656,141985.0
rollout/ep_len_mean,429.8999938964844,144079.0
rollout/ep_len_mean,450.4800109863281,146275.0
rollout/ep_len_mean,449.8999938964844,147430.0
rollout/ep_len_mean,441.3900146484375,147817.0
rollout/ep_len_mean,422.4700012207031,148094.0
rollout/ep_len_mean,431.94000244140625,150234.0
rollout/ep_len_mean,429.2099914550781,151304.0
rollout/ep_len_mean,410.6199951171875,151495.0
rollout/ep_len_mean,391.20001220703125,151779.0
rollout/ep_len_mean,379.4200134277344,152162.0
rollout/ep_len_mean,386.1600036621094,154258.0
rollout/ep_len_mean,379.1099853515625,154732.0
rollout/ep_len_mean,368.6499938964844,156767.0
rollout/ep_len_mean,349.80999755859375,157916.0
rollout/ep_len_mean,347.57000732421875,159960.0
rollout/ep_len_mean,355.2200012207031,161024.0
rollout/ep_len_mean,345.5299987792969,161193.0
rollout/ep_len_mean,336.79998779296875,162416.0
rollout/ep_len_mean,312.3699951171875,163557.0
rollout/ep_len_mean,303.4700012207031,165723.0
rollout/ep_len_mean,296.0799865722656,166062.0
rollout/ep_len_mean,297.04998779296875,167315.0
rollout/ep_len_mean,311.6600036621094,168995.0
rollout/ep_len_mean,311.92999267578125,170159.0
rollout/ep_len_mean,293.7799987792969,171363.0
rollout/ep_len_mean,285.8599853515625,172665.0
rollout/ep_len_mean,275.010009765625,173776.0
rollout/ep_len_mean,267.5799865722656,174188.0
rollout/ep_len_mean,274.25,175242.0
rollout/ep_len_mean,294.1400146484375,177508.0
rollout/ep_len_mean,295.8999938964844,179824.0
rollout/ep_len_mean,296.8599853515625,180990.0
rollout/ep_len_mean,310.6499938964844,182560.0
rollout/ep_len_mean,319.45001220703125,183724.0
rollout/ep_len_mean,318.2099914550781,183983.0
rollout/ep_len_mean,318.6600036621094,186124.0
rollout/ep_len_mean,325.1000061035156,187242.0
rollout/ep_len_mean,325.1199951171875,189279.0
rollout/ep_len_mean,325.19000244140625,190435.0
rollout/ep_len_mean,307.3699951171875,190697.0
rollout/ep_len_mean,299.6199951171875,190986.0
rollout/ep_len_mean,309.54998779296875,192148.0
rollout/ep_len_mean,308.92999267578125,193309.0
rollout/ep_len_mean,309.2099914550781,194478.0
rollout/ep_len_mean,299.17999267578125,195641.0
rollout/ep_len_mean,310.0199890136719,197064.0
rollout/ep_len_mean,318.95001220703125,199210.0
rollout/ep_len_mean,323.44000244140625,201339.0
rollout/ep_len_mean,325.2699890136719,202686.0
rollout/ep_len_mean,324.9700012207031,203860.0
rollout/ep_len_mean,323.9599914550781,205061.0
rollout/ep_len_mean,314.9200134277344,205268.0
rollout/ep_len_mean,321.94000244140625,206382.0
rollout/ep_len_mean,316.3699951171875,206879.0
rollout/ep_len_mean,315.8299865722656,209091.0
rollout/ep_len_mean,300.67999267578125,209892.0
rollout/ep_len_mean,311.7300109863281,212163.0
rollout/ep_len_mean,300.82000732421875,212642.0
rollout/ep_len_mean,300.1700134277344,213741.0
rollout/ep_len_mean,334.92999267578125,217476.0
rollout/ep_len_mean,336.5199890136719,219776.0
rollout/ep_len_mean,348.1499938964844,222057.0
rollout/ep_len_mean,351.260009765625,224405.0
rollout/ep_len_mean,370.6000061035156,227495.0
rollout/ep_len_mean,407.9800109863281,231495.0
rollout/ep_len_mean,407.0899963378906,231695.0
rollout/ep_len_mean,428.07000732421875,234955.0
rollout/ep_len_mean,437.07000732421875,237016.0
rollout/ep_len_mean,447.0299987792969,239181.0
rollout/ep_len_mean,447.92999267578125,240434.0
rollout/ep_len_mean,448.4200134277344,241906.0
rollout/ep_len_mean,433.5799865722656,242568.0
rollout/ep_len_mean,434.70001220703125,244809.0
rollout/ep_len_mean,442.94000244140625,246980.0
rollout/ep_len_mean,452.8399963378906,249144.0
rollout/ep_len_mean,457.9700012207031,250858.0
rollout/ep_len_mean,457.7699890136719,251045.0
rollout/ep_len_mean,450.04998779296875,251387.0
rollout/ep_len_mean,459.8900146484375,252868.0
rollout/ep_len_mean,460.25,255116.0
rollout/ep_len_mean,464.6300048828125,256355.0
rollout/ep_len_mean,457.6600036621094,257929.0
rollout/ep_len_mean,465.8599853515625,259228.0
rollout/ep_len_mean,467.92999267578125,260534.0
rollout/ep_len_mean,432.239990234375,260700.0
rollout/ep_len_mean,421.2900085449219,261905.0
rollout/ep_len_mean,428.70001220703125,264927.0
rollout/ep_len_mean,417.07000732421875,266112.0
rollout/ep_len_mean,405.25,268020.0
rollout/ep_len_mean,377.9100036621094,269286.0
rollout/ep_len_mean,387.79998779296875,270475.0
rollout/ep_len_mean,377.260009765625,272681.0
rollout/ep_len_mean,378.2900085449219,274845.0
rollout/ep_len_mean,358.7099914550781,275052.0
rollout/ep_len_mean,360.2699890136719,276461.0
rollout/ep_len_mean,367.3399963378906,278640.0
rollout/ep_len_mean,373.0799865722656,279876.0
rollout/ep_len_mean,352.4100036621094,280050.0
rollout/ep_len_mean,332.5799865722656,280238.0
rollout/ep_len_mean,312.9100036621094,280435.0
rollout/ep_len_mean,307.760009765625,281634.0
rollout/ep_len_mean,308.67999267578125,281913.0
rollout/ep_len_mean,317.0400085449219,283091.0
rollout/ep_len_mean,314.7900085449219,284347.0
rollout/ep_len_mean,313.7900085449219,286495.0
rollout/ep_len_mean,303.42999267578125,286698.0
rollout/ep_len_mean,288.7699890136719,286806.0
rollout/ep_len_mean,287.989990234375,288027.0
rollout/ep_len_mean,285.8900146484375,289123.0
rollout/ep_len_mean,286.5299987792969,289353.0
rollout/ep_len_mean,287.25,290630.0
rollout/ep_len_mean,277.82000732421875,292709.0
rollout/ep_len_mean,268.260009765625,292938.0
rollout/ep_len_mean,250.88999938964844,293109.0
rollout/ep_len_mean,251.72999572753906,294459.0
rollout/ep_len_mean,242.67999267578125,294743.0
rollout/ep_len_mean,223.8300018310547,295064.0
rollout/ep_len_mean,215.02999877929688,296348.0
rollout/ep_len_mean,224.4499969482422,297497.0
rollout/ep_len_mean,221.44000244140625,298605.0
rollout/ep_len_mean,201.66000366210938,298806.0
rollout/ep_len_mean,200.25999450683594,299902.0
rollout/ep_len_mean,209.9499969482422,301045.0
rollout/ep_len_mean,213.5500030517578,301593.0
rollout/ep_len_mean,224.10000610351562,302845.0
rollout/ep_len_mean,223.32000732421875,303966.0
rollout/ep_len_mean,241.10000610351562,306023.0
rollout/ep_len_mean,240.41000366210938,307132.0
rollout/ep_len_mean,248.72000122070312,309219.0
rollout/ep_len_mean,238.10000610351562,310305.0
rollout/ep_len_mean,237.77000427246094,310475.0
rollout/ep_len_mean,247.72000122070312,311578.0
rollout/ep_len_mean,251.13999938964844,313141.0
rollout/ep_len_mean,241.60000610351562,313283.0
rollout/ep_len_mean,250.77000427246094,314430.0
rollout/ep_len_mean,249.11000061035156,315541.0
rollout/ep_len_mean,231.75999450683594,315885.0
rollout/ep_len_mean,240.8000030517578,317018.0
rollout/ep_len_mean,249.8000030517578,318089.0
rollout/ep_len_mean,256.8699951171875,320146.0
rollout/ep_len_mean,266.0299987792969,321346.0
rollout/ep_len_mean,283.6400146484375,323428.0
rollout/ep_len_mean,282.510009765625,324599.0
rollout/ep_len_mean,272.82000732421875,324779.0
rollout/ep_len_mean,264.54998779296875,325060.0
rollout/ep_len_mean,264.7200012207031,325278.0
rollout/ep_len_mean,255.52000427246094,325454.0
rollout/ep_len_mean,255.60000610351562,326605.0
rollout/ep_len_mean,251.67999267578125,326761.0
rollout/ep_len_mean,250.1699981689453,327862.0
rollout/ep_len_mean,259.7300109863281,329939.0
rollout/ep_len_mean,242.44000244140625,330267.0
rollout/ep_len_mean,241.99000549316406,331331.0
rollout/ep_len_mean,232.27000427246094,332446.0
rollout/ep_len_mean,242.27000427246094,334532.0
rollout/ep_len_mean,251.6199951171875,335637.0
rollout/ep_len_mean,241.14999389648438,335693.0
rollout/ep_len_mean,227.0399932861328,335845.0
rollout/ep_len_mean,236.91000366210938,336974.0
rollout/ep_len_mean,226.5,337080.0
rollout/ep_len_mean,217.19000244140625,337260.0
rollout/ep_len_mean,215.10000610351562,337395.0
rollout/ep_len_mean,205.6999969482422,337588.0
rollout/ep_len_mean,197.8000030517578,337869.0
rollout/ep_len_mean,188.5399932861328,339000.0
rollout/ep_len_mean,196.97999572753906,341044.0
rollout/ep_len_mean,187.8800048828125,342216.0
rollout/ep_len_mean,189.08999633789062,343508.0
rollout/ep_len_mean,193.07000732421875,344086.0
rollout/ep_len_mean,201.75999450683594,345236.0
rollout/ep_len_mean,210.1699981689453,346295.0
rollout/ep_len_mean,219.88999938964844,347443.0
rollout/ep_len_mean,210.52999877929688,347658.0
rollout/ep_len_mean,220.60000610351562,348821.0
rollout/ep_len_mean,222.52000427246094,350114.0
rollout/ep_len_mean,204.3300018310547,350372.0
rollout/ep_len_mean,202.5,350517.0
rollout/ep_len_mean,203.47000122070312,351678.0
rollout/ep_len_mean,203.41000366210938,352787.0
rollout/ep_len_mean,184.36000061035156,352968.0
rollout/ep_len_mean,174.44000244140625,353081.0
rollout/ep_len_mean,185.00999450683594,354194.0
rollout/ep_len_mean,184.75999450683594,354321.0
rollout/ep_len_mean,185.2100067138672,355495.0
rollout/ep_len_mean,188.08999633789062,355889.0
rollout/ep_len_mean,187.3800048828125,355998.0
rollout/ep_len_mean,187.94000244140625,356189.0
rollout/ep_len_mean,216.22000122070312,359210.0
rollout/ep_len_mean,217.36000061035156,359605.0
rollout/ep_len_mean,219.9600067138672,360996.0
rollout/ep_len_mean,201.8800048828125,361232.0
rollout/ep_len_mean,213.5399932861328,363570.0
rollout/ep_len_mean,221.30999755859375,365639.0
rollout/ep_len_mean,220.9499969482422,366181.0
rollout/ep_len_mean,220.67999267578125,367304.0
rollout/ep_len_mean,225.77999877929688,368873.0
rollout/ep_len_mean,235.13999938964844,370957.0
rollout/ep_len_mean,247.1699981689453,372375.0
rollout/ep_len_mean,249.0,373721.0
rollout/ep_len_mean,256.4700012207031,375761.0
rollout/ep_len_mean,266.7699890136719,377049.0
rollout/ep_len_mean,268.44000244140625,377361.0
rollout/ep_len_mean,264.4700012207031,378125.0
rollout/ep_len_mean,265.760009765625,379363.0
rollout/ep_len_mean,274.8299865722656,380451.0
rollout/ep_len_mean,286.4599914550781,381727.0
rollout/ep_len_mean,280.010009765625,382195.0
rollout/ep_len_mean,301.6000061035156,384481.0
rollout/ep_len_mean,329.8599853515625,388481.0
rollout/ep_len_mean,356.739990234375,391563.0
rollout/ep_len_mean,377.57000732421875,393755.0
rollout/ep_len_mean,399.6000061035156,396149.0
rollout/ep_len_mean,390.489990234375,398259.0
rollout/ep_len_mean,408.05999755859375,400411.0
rollout/ep_len_mean,434.1499938964844,404411.0
rollout/ep_len_mean,434.0400085449219,404636.0
rollout/ep_len_mean,426.7900085449219,406249.0
rollout/ep_len_mean,417.489990234375,407388.0
rollout/ep_len_mean,424.80999755859375,408662.0
rollout/ep_len_mean,416.4700012207031,408951.0
rollout/ep_len_mean,435.5899963378906,412432.0
rollout/ep_len_mean,433.9800109863281,414355.0
rollout/ep_len_mean,447.7900085449219,417154.0
rollout/ep_len_mean,456.2099914550781,419342.0
rollout/ep_len_mean,458.739990234375,421635.0
rollout/ep_len_mean,457.9100036621094,422840.0
rollout/ep_len_mean,478.1300048828125,425174.0
rollout/ep_len_mean,477.8599853515625,425911.0
rollout/ep_len_mean,479.7200012207031,427335.0
rollout/ep_len_mean,495.7099914550781,430022.0
rollout/ep_len_mean,522.9500122070312,434022.0
rollout/ep_len_mean,523.0700073242188,434502.0
rollout/ep_len_mean,517.0999755859375,436191.0
rollout/ep_len_mean,499.3800048828125,438419.0
rollout/ep_len_mean,498.9599914550781,441459.0
rollout/ep_len_mean,489.6400146484375,442719.0
rollout/ep_len_mean,496.4800109863281,445797.0
rollout/ep_len_mean,500.69000244140625,448328.0
rollout/ep_len_mean,493.0400085449219,449715.0
rollout/ep_len_mean,474.67999267578125,451879.0
rollout/ep_len_mean,494.3399963378906,454070.0
rollout/ep_len_mean,499.9200134277344,456241.0
rollout/ep_len_mean,513.280029296875,458716.0
rollout/ep_len_mean,513.3200073242188,459994.0
rollout/ep_len_mean,533.0499877929688,462809.0
rollout/ep_len_mean,513.3300170898438,464509.0
rollout/ep_len_mean,514.9600219726562,467047.0
rollout/ep_len_mean,508.9100036621094,470194.0
rollout/ep_len_mean,500.95001220703125,472259.0
rollout/ep_len_mean,504.010009765625,474858.0
rollout/ep_len_mean,520.7100219726562,477875.0
rollout/ep_len_mean,514.97998046875,480556.0
rollout/ep_len_mean,519.6900024414062,481764.0
rollout/ep_len_mean,526.8599853515625,483905.0
rollout/ep_len_mean,516.6199951171875,485568.0
rollout/ep_len_mean,493.75,487281.0
rollout/ep_len_mean,510.2699890136719,489413.0
rollout/ep_len_mean,516.3599853515625,491711.0
rollout/ep_len_mean,521.1699829101562,494420.0
rollout/ep_len_mean,530.77001953125,498420.0
rollout/ep_len_mean,549.4500122070312,501548.0
rollout/ep_len_mean,539.780029296875,503659.0
rollout/ep_len_mean,538.6900024414062,506081.0
rollout/ep_len_mean,547.1699829101562,508316.0
rollout/ep_len_mean,541.0700073242188,509870.0
rollout/ep_len_mean,550.780029296875,513032.0
rollout/ep_len_mean,560.72998046875,516198.0
rollout/ep_len_mean,553.25,517925.0
rollout/ep_len_mean,557.1799926757812,519596.0
rollout/ep_len_mean,556.5399780273438,521794.0
rollout/ep_len_mean,572.3400268554688,524883.0
rollout/ep_len_mean,568.760009765625,526611.0
rollout/ep_len_mean,586.8200073242188,530611.0
rollout/ep_len_mean,590.2100219726562,532342.0
rollout/ep_len_mean,591.25,535045.0
rollout/ep_len_mean,583.5700073242188,537152.0
rollout/ep_len_mean,592.989990234375,539855.0
rollout/ep_len_mean,604.6599731445312,542230.0
rollout/ep_len_mean,614.6500244140625,545370.0
rollout/ep_len_mean,621.6400146484375,547732.0
rollout/ep_len_mean,620.4400024414062,549593.0
rollout/ep_len_mean,639.1199951171875,554000.0
rollout/ep_len_mean,656.1400146484375,558000.0
rollout/ep_len_mean,654.8400268554688,561268.0
rollout/ep_len_mean,639.1900024414062,563703.0
rollout/ep_len_mean,636.8900146484375,567000.0
rollout/ep_len_mean,652.1400146484375,570636.0
rollout/ep_len_mean,659.22998046875,573767.0
rollout/ep_len_mean,671.5900268554688,577238.0
rollout/ep_len_mean,681.2899780273438,579762.0
rollout/ep_len_mean,670.010009765625,581796.0
rollout/ep_len_mean,671.8499755859375,585146.0
rollout/ep_len_mean,686.3200073242188,588320.0
rollout/ep_len_mean,693.6699829101562,590726.0
rollout/ep_len_mean,702.3900146484375,593796.0
rollout/ep_len_mean,693.739990234375,596020.0
rollout/ep_len_mean,699.7000122070312,598344.0
rollout/ep_len_mean,685.2999877929688,600904.0
rollout/ep_len_mean,699.6699829101562,604072.0
rollout/ep_len_mean,712.6400146484375,608072.0
rollout/ep_len_mean,723.4000244140625,611255.0
rollout/ep_len_mean,736.3699951171875,615255.0
rollout/ep_len_mean,744.5900268554688,618452.0
rollout/ep_len_mean,744.1300048828125,621546.0
rollout/ep_len_mean,733.0999755859375,622805.0
rollout/ep_len_mean,747.52001953125,625840.0
rollout/ep_len_mean,739.1300048828125,629001.0
rollout/ep_len_mean,716.9400024414062,630782.0
rollout/ep_len_mean,731.1500244140625,634782.0
rollout/ep_len_mean,738.6400146484375,637966.0
rollout/ep_len_mean,749.6599731445312,641966.0
rollout/ep_len_mean,743.4600219726562,644982.0
rollout/ep_len_mean,735.2999877929688,647297.0
rollout/ep_len_mean,732.5900268554688,650497.0
rollout/ep_len_mean,730.7100219726562,652833.0
rollout/ep_len_mean,740.6500244140625,655861.0
rollout/ep_len_mean,728.25,657971.0
rollout/ep_len_mean,722.2999877929688,660550.0
rollout/ep_len_mean,713.9500122070312,662121.0
rollout/ep_len_mean,714.77001953125,665273.0
rollout/ep_len_mean,718.3800048828125,667858.0
rollout/ep_len_mean,720.1599731445312,670360.0
rollout/ep_len_mean,730.3499755859375,673939.0
rollout/ep_len_mean,732.780029296875,677350.0
rollout/ep_len_mean,728.1799926757812,680890.0
rollout/ep_len_mean,716.1500244140625,682870.0
rollout/ep_len_mean,716.1500244140625,686870.0
rollout/ep_len_mean,714.5,689902.0
rollout/ep_len_mean,711.1099853515625,692657.0
rollout/ep_len_mean,725.8900146484375,695394.0
rollout/ep_len_mean,726.219970703125,698462.0
rollout/ep_len_mean,721.5599975585938,701157.0
rollout/ep_len_mean,727.5499877929688,703537.0
rollout/ep_len_mean,713.6799926757812,706150.0
rollout/ep_len_mean,704.6799926757812,708434.0
rollout/ep_len_mean,685.6500244140625,710531.0
rollout/ep_len_mean,686.760009765625,713658.0
rollout/ep_len_mean,684.0399780273438,715701.0
rollout/ep_len_mean,684.9500122070312,718992.0
rollout/ep_len_mean,684.489990234375,721282.0
rollout/ep_len_mean,688.260009765625,724687.0
