,gait,task,direction,id,length
0,ds_crawl,straight,forward,Quadruped_0,55
1,ds_crawl,straight,forward,Quadruped_1,2377
2,ds_crawl,straight,forward,Quadruped_2,2440
3,ds_crawl,straight,forward,Quadruped_3,2302
4,ds_crawl,straight,forward,Quadruped_4,3000
5,ds_crawl,straight,forward,Quadruped_5,5492
6,ds_crawl,straight,forward,Quadruped_6,4110
7,ds_crawl,straight,forward,Quadruped_7,2392
8,ds_crawl,straight,forward,Quadruped_8,2134
9,ds_crawl,straight,forward,Quadruped_9,2876
10,ds_crawl,straight,forward,Quadruped_10,5467
11,ds_crawl,straight,forward,Quadruped_11,2585
12,ds_crawl,straight,forward,Quadruped_12,2597
13,ds_crawl,straight,forward,Quadruped_13,2315
14,ds_crawl,straight,forward,Quadruped_14,2819
15,ds_crawl,straight,forward,Quadruped_15,2722
16,ds_crawl,straight,forward,Quadruped_16,5823
17,ds_crawl,straight,forward,Quadruped_17,4556
18,ds_crawl,straight,forward,Quadruped_18,3996
19,ds_crawl,straight,forward,Quadruped_19,4344
20,ds_crawl,straight,backward,Quadruped_20,2600
21,ds_crawl,straight,backward,Quadruped_21,2218
22,ds_crawl,straight,backward,Quadruped_22,2400
23,ds_crawl,straight,backward,Quadruped_23,2220
24,ds_crawl,straight,backward,Quadruped_24,2220
25,ds_crawl,straight,backward,Quadruped_25,2138
26,ds_crawl,straight,backward,Quadruped_26,2675
27,ds_crawl,straight,backward,Quadruped_27,7048
28,ds_crawl,straight,backward,Quadruped_28,2858
29,ds_crawl,straight,backward,Quadruped_29,2745
30,ds_crawl,straight,backward,Quadruped_30,5250
31,ds_crawl,straight,backward,Quadruped_31,2747
32,ds_crawl,straight,backward,Quadruped_32,4010
33,ds_crawl,straight,backward,Quadruped_33,2560
34,ds_crawl,straight,backward,Quadruped_34,2560
35,ds_crawl,straight,backward,Quadruped_35,13916
36,ds_crawl,straight,backward,Quadruped_36,6000
37,ds_crawl,straight,backward,Quadruped_37,3055
38,ds_crawl,straight,backward,Quadruped_38,2639
39,ds_crawl,straight,backward,Quadruped_39,3462
40,ds_crawl,straight,left,Quadruped_40,3050
41,ds_crawl,straight,left,Quadruped_41,2374
42,ds_crawl,straight,left,Quadruped_42,2536
43,ds_crawl,straight,left,Quadruped_43,2628
44,ds_crawl,straight,left,Quadruped_44,2236
45,ds_crawl,straight,left,Quadruped_45,4240
46,ds_crawl,straight,left,Quadruped_46,2687
47,ds_crawl,straight,left,Quadruped_47,2246
48,ds_crawl,straight,left,Quadruped_48,2778
49,ds_crawl,straight,left,Quadruped_49,8895
50,ds_crawl,straight,left,Quadruped_50,5262
51,ds_crawl,straight,left,Quadruped_51,6974
52,ds_crawl,straight,left,Quadruped_52,3135
53,ds_crawl,straight,left,Quadruped_53,3879
54,ds_crawl,straight,left,Quadruped_54,2239
55,ds_crawl,straight,left,Quadruped_55,3780
56,ds_crawl,straight,left,Quadruped_56,2304
57,ds_crawl,straight,left,Quadruped_57,2837
58,ds_crawl,straight,left,Quadruped_58,2796
59,ds_crawl,straight,left,Quadruped_59,9760
60,ds_crawl,straight,right,Quadruped_60,3395
61,ds_crawl,straight,right,Quadruped_61,8911
62,ds_crawl,straight,right,Quadruped_62,4083
63,ds_crawl,straight,right,Quadruped_63,2274
64,ds_crawl,straight,right,Quadruped_64,3024
65,ds_crawl,straight,right,Quadruped_65,5120
66,ds_crawl,straight,right,Quadruped_66,3308
67,ds_crawl,straight,right,Quadruped_67,3028
68,ds_crawl,straight,right,Quadruped_68,2466
69,ds_crawl,straight,right,Quadruped_69,3687
70,ds_crawl,straight,right,Quadruped_70,2274
71,ds_crawl,straight,right,Quadruped_71,2252
72,ds_crawl,straight,right,Quadruped_72,3312
73,ds_crawl,straight,right,Quadruped_73,3687
74,ds_crawl,straight,right,Quadruped_74,3000
75,ds_crawl,straight,right,Quadruped_75,2814
76,ds_crawl,straight,right,Quadruped_76,3870
77,ds_crawl,straight,right,Quadruped_77,21267
78,ds_crawl,straight,right,Quadruped_78,2576
79,ds_crawl,straight,right,Quadruped_79,4995
80,ds_crawl,rotate,left,Quadruped_80,2641
81,ds_crawl,rotate,left,Quadruped_81,2686
82,ds_crawl,rotate,left,Quadruped_82,6250
83,ds_crawl,rotate,left,Quadruped_83,2274
84,ds_crawl,rotate,left,Quadruped_84,8141
85,ds_crawl,rotate,left,Quadruped_85,7668
86,ds_crawl,rotate,left,Quadruped_86,5178
87,ds_crawl,rotate,left,Quadruped_87,2599
88,ds_crawl,rotate,left,Quadruped_88,3985
89,ds_crawl,rotate,left,Quadruped_89,3690
90,ds_crawl,rotate,left,Quadruped_90,2796
91,ds_crawl,rotate,left,Quadruped_91,3720
92,ds_crawl,rotate,left,Quadruped_92,2796
93,ds_crawl,rotate,left,Quadruped_93,3140
94,ds_crawl,rotate,left,Quadruped_94,2305
95,ds_crawl,rotate,left,Quadruped_95,4034
96,ds_crawl,rotate,left,Quadruped_96,2234
97,ds_crawl,rotate,left,Quadruped_97,6974
98,ds_crawl,rotate,left,Quadruped_98,2427
99,ds_crawl,rotate,left,Quadruped_99,2217
100,ds_crawl,rotate,right,Quadruped_100,2715
101,ds_crawl,rotate,right,Quadruped_101,2372
102,ds_crawl,rotate,right,Quadruped_102,2689
103,ds_crawl,rotate,right,Quadruped_103,2455
104,ds_crawl,rotate,right,Quadruped_104,2304
105,ds_crawl,rotate,right,Quadruped_105,3112
106,ds_crawl,rotate,right,Quadruped_106,2694
107,ds_crawl,rotate,right,Quadruped_107,9000
108,ds_crawl,rotate,right,Quadruped_108,4086
109,ds_crawl,rotate,right,Quadruped_109,16656
110,ds_crawl,rotate,right,Quadruped_110,7967
111,ds_crawl,rotate,right,Quadruped_111,3024
112,ds_crawl,rotate,right,Quadruped_112,3000
113,ds_crawl,rotate,right,Quadruped_113,5784
114,ds_crawl,rotate,right,Quadruped_114,4593
115,ds_crawl,rotate,right,Quadruped_115,3780
116,ds_crawl,rotate,right,Quadruped_116,3780
117,ds_crawl,rotate,right,Quadruped_117,2367
118,ds_crawl,rotate,right,Quadruped_118,8060
119,ds_crawl,rotate,right,Quadruped_119,2306
120,ds_crawl,turn,forward,Quadruped_120,3179
121,ds_crawl,turn,forward,Quadruped_121,4362
122,ds_crawl,turn,forward,Quadruped_122,2747
123,ds_crawl,turn,forward,Quadruped_123,3737
124,ds_crawl,turn,forward,Quadruped_124,4740
125,ds_crawl,turn,forward,Quadruped_125,2199
126,ds_crawl,turn,forward,Quadruped_126,4344
127,ds_crawl,turn,forward,Quadruped_127,5823
128,ds_crawl,turn,forward,Quadruped_128,4552
129,ds_crawl,turn,forward,Quadruped_129,5823
130,ds_crawl,turn,forward,Quadruped_130,4552
131,ds_crawl,turn,forward,Quadruped_131,4196
132,ds_crawl,turn,forward,Quadruped_132,2787
133,ds_crawl,turn,forward,Quadruped_133,5463
134,ds_crawl,turn,forward,Quadruped_134,7200
135,ds_crawl,turn,forward,Quadruped_135,2222
136,ds_crawl,turn,forward,Quadruped_136,3600
137,ds_crawl,turn,forward,Quadruped_137,3879
138,ds_crawl,turn,forward,Quadruped_138,2385
139,ds_crawl,turn,forward,Quadruped_139,2611
140,ds_crawl,turn,backward,Quadruped_140,3075
141,ds_crawl,turn,backward,Quadruped_141,2600
142,ds_crawl,turn,backward,Quadruped_142,2907
143,ds_crawl,turn,backward,Quadruped_143,2520
144,ds_crawl,turn,backward,Quadruped_144,4344
