,gait,task,direction,id,length
0,trot,straight,forward,Quadruped_0,8968
1,trot,straight,backward,Quadruped_1,8968
2,trot,straight,left,Quadruped_2,8968
3,trot,straight,right,Quadruped_3,8968
4,trot,turn,left,Quadruped_4,8968
5,trot,turn,right,Quadruped_5,8968
6,ds_crawl,straight,forward,Quadruped_6,10191
7,ds_crawl,straight,backward,Quadruped_7,10191
8,ds_crawl,straight,left,Quadruped_8,10193
9,ds_crawl,straight,right,Quadruped_9,10201
10,ds_crawl,rotate,left,Quadruped_10,10161
11,ds_crawl,rotate,right,Quadruped_11,10281
12,ds_crawl,turn,left,Quadruped_12,10321
13,ds_crawl,turn,right,Quadruped_13,10201
14,ls_crawl,straight,forward,Quadruped_14,10193
15,ls_crawl,straight,backward,Quadruped_15,10211
16,ls_crawl,straight,left,Quadruped_16,10201
17,ls_crawl,straight,right,Quadruped_17,10163
18,ls_crawl,rotate,left,Quadruped_18,10183
19,ls_crawl,rotate,right,Quadruped_19,10201
20,ls_crawl,turn,left,Quadruped_20,10200
21,ls_crawl,turn,right,Quadruped_21,10163
