,gait,task,direction,id,length
0,trot,straight,forward,Quadruped_0,1354
1,trot,straight,forward,Quadruped_1,1201
2,trot,straight,forward,Quadruped_2,1345
3,trot,straight,forward,Quadruped_3,1345
4,trot,straight,forward,Quadruped_4,1345
5,trot,straight,forward,Quadruped_5,1356
6,trot,straight,forward,Quadruped_6,1345
7,trot,straight,forward,Quadruped_7,1201
8,trot,straight,forward,Quadruped_8,1345
9,trot,straight,forward,Quadruped_9,1366
10,trot,straight,forward,Quadruped_10,1345
11,trot,straight,forward,Quadruped_11,1201
12,trot,straight,forward,Quadruped_12,1345
13,trot,straight,forward,Quadruped_13,1201
14,trot,straight,forward,Quadruped_14,1345
15,trot,straight,forward,Quadruped_15,1201
16,trot,straight,forward,Quadruped_16,1345
17,trot,straight,forward,Quadruped_17,1062
18,trot,straight,forward,Quadruped_18,1345
19,trot,straight,forward,Quadruped_19,1201
20,trot,straight,forward,Quadruped_20,1345
21,trot,straight,forward,Quadruped_21,1201
22,trot,straight,forward,Quadruped_22,1345
23,trot,straight,forward,Quadruped_23,1201
24,trot,straight,forward,Quadruped_24,1345
25,trot,straight,forward,Quadruped_25,1055
26,trot,straight,forward,Quadruped_26,1345
27,trot,straight,forward,Quadruped_27,1201
28,trot,straight,forward,Quadruped_28,1345
29,trot,straight,forward,Quadruped_29,1061
30,trot,straight,forward,Quadruped_30,1345
31,trot,straight,forward,Quadruped_31,1345
32,trot,straight,forward,Quadruped_32,1345
33,trot,straight,forward,Quadruped_33,1201
34,trot,straight,forward,Quadruped_34,1345
35,trot,straight,forward,Quadruped_35,1201
36,trot,straight,forward,Quadruped_36,1345
37,trot,straight,forward,Quadruped_37,1345
38,trot,straight,forward,Quadruped_38,1345
39,trot,straight,forward,Quadruped_39,1345
40,trot,straight,forward,Quadruped_40,1345
41,trot,straight,forward,Quadruped_41,1201
42,trot,straight,forward,Quadruped_42,1345
43,trot,straight,forward,Quadruped_43,1201
44,trot,straight,forward,Quadruped_44,1345
45,trot,straight,forward,Quadruped_45,1345
46,trot,straight,forward,Quadruped_46,1345
47,trot,straight,forward,Quadruped_47,1345
48,trot,straight,forward,Quadruped_48,1345
49,trot,straight,forward,Quadruped_49,1201
50,trot,straight,forward,Quadruped_50,1345
51,trot,straight,forward,Quadruped_51,1345
52,trot,straight,forward,Quadruped_52,1345
53,trot,straight,forward,Quadruped_53,1345
54,trot,straight,forward,Quadruped_54,1345
55,trot,straight,forward,Quadruped_55,1201
56,trot,straight,forward,Quadruped_56,1345
57,trot,straight,forward,Quadruped_57,1201
58,trot,straight,forward,Quadruped_58,1345
59,trot,straight,forward,Quadruped_59,1345
60,trot,straight,forward,Quadruped_60,1345
61,trot,straight,forward,Quadruped_61,1345
62,trot,straight,forward,Quadruped_62,1345
63,trot,straight,forward,Quadruped_63,1345
64,trot,straight,forward,Quadruped_64,1345
65,trot,straight,forward,Quadruped_65,1345
66,trot,straight,forward,Quadruped_66,1345
67,trot,straight,forward,Quadruped_67,1345
68,trot,straight,forward,Quadruped_68,1345
69,trot,straight,forward,Quadruped_69,1062
70,trot,straight,forward,Quadruped_70,1345
71,trot,straight,forward,Quadruped_71,1345
72,trot,straight,forward,Quadruped_72,1345
73,trot,straight,forward,Quadruped_73,1201
74,trot,straight,forward,Quadruped_74,1345
75,trot,straight,forward,Quadruped_75,1345
76,trot,straight,forward,Quadruped_76,1345
77,trot,straight,forward,Quadruped_77,1345
78,trot,straight,forward,Quadruped_78,1345
79,trot,straight,forward,Quadruped_79,1345
80,trot,straight,forward,Quadruped_80,1345
81,trot,straight,forward,Quadruped_81,1345
82,trot,straight,forward,Quadruped_82,1345
83,trot,straight,forward,Quadruped_83,1366
84,trot,straight,forward,Quadruped_84,1345
85,trot,straight,forward,Quadruped_85,1345
86,trot,straight,forward,Quadruped_86,1345
87,trot,straight,forward,Quadruped_87,1201
88,trot,straight,forward,Quadruped_88,1345
89,trot,straight,forward,Quadruped_89,1345
90,trot,straight,forward,Quadruped_90,1345
91,trot,straight,forward,Quadruped_91,1201
92,trot,straight,forward,Quadruped_92,1345
93,trot,straight,forward,Quadruped_93,1201
94,trot,straight,forward,Quadruped_94,1345
95,trot,straight,forward,Quadruped_95,1201
96,trot,straight,forward,Quadruped_96,1345
97,trot,straight,forward,Quadruped_97,1345
98,trot,straight,forward,Quadruped_98,1345
99,trot,straight,forward,Quadruped_99,1356
100,trot,straight,forward,Quadruped_100,1345
101,trot,straight,forward,Quadruped_101,1201
102,trot,straight,forward,Quadruped_102,1345
103,trot,straight,forward,Quadruped_103,1347
104,trot,straight,forward,Quadruped_104,1345
105,trot,straight,forward,Quadruped_105,1201
106,trot,straight,forward,Quadruped_106,1345
107,trot,straight,forward,Quadruped_107,1367
108,trot,straight,forward,Quadruped_108,1345
109,trot,straight,forward,Quadruped_109,1201
110,trot,straight,forward,Quadruped_110,1345
111,trot,straight,forward,Quadruped_111,1061
112,trot,straight,forward,Quadruped_112,1345
113,trot,straight,forward,Quadruped_113,1201
114,trot,straight,forward,Quadruped_114,1345
115,trot,straight,forward,Quadruped_115,1201
