,gait,task,direction,id,length,type
0,trot,straight,forward,Quadruped_0,2409,constant omega
1,trot,straight,forward,Quadruped_1,2401,constant mu
2,trot,straight,forward,Quadruped_2,2401,random
3,trot,straight,forward,Quadruped_3,2401,constant omega
4,trot,straight,forward,Quadruped_4,2401,constant mu
5,trot,straight,forward,Quadruped_5,2728,random
6,trot,straight,forward,Quadruped_6,2401,constant omega
7,trot,straight,forward,Quadruped_7,2689,constant mu
8,trot,straight,forward,Quadruped_8,2401,random
9,trot,straight,forward,Quadruped_9,2401,constant omega
10,trot,straight,forward,Quadruped_10,2401,constant mu
11,trot,straight,forward,Quadruped_11,2689,random
12,trot,straight,forward,Quadruped_12,2401,constant omega
13,trot,straight,forward,Quadruped_13,2409,constant mu
14,trot,straight,forward,Quadruped_14,2401,random
15,trot,straight,forward,Quadruped_15,2401,constant omega
16,trot,straight,forward,Quadruped_16,2689,constant mu
17,trot,straight,forward,Quadruped_17,2689,random
18,trot,straight,forward,Quadruped_18,2401,constant omega
19,trot,straight,forward,Quadruped_19,2689,constant mu
20,trot,straight,forward,Quadruped_20,2691,random
21,trot,straight,forward,Quadruped_21,2401,constant omega
22,trot,straight,forward,Quadruped_22,2401,constant mu
23,trot,straight,forward,Quadruped_23,2121,random
24,trot,straight,forward,Quadruped_24,2401,constant omega
25,trot,straight,forward,Quadruped_25,2131,constant mu
26,trot,straight,forward,Quadruped_26,2689,random
27,trot,straight,forward,Quadruped_27,2401,constant omega
28,trot,straight,forward,Quadruped_28,2689,constant mu
29,trot,straight,forward,Quadruped_29,2689,random
30,trot,straight,forward,Quadruped_30,2401,constant omega
31,trot,straight,forward,Quadruped_31,2401,constant mu
32,trot,straight,forward,Quadruped_32,2409,random
33,trot,straight,forward,Quadruped_33,2401,constant omega
34,trot,straight,forward,Quadruped_34,2692,constant mu
35,trot,straight,forward,Quadruped_35,2689,random
36,trot,straight,forward,Quadruped_36,2401,constant omega
37,trot,straight,forward,Quadruped_37,2690,constant mu
38,trot,straight,forward,Quadruped_38,2401,random
39,trot,straight,forward,Quadruped_39,2401,constant omega
40,trot,straight,forward,Quadruped_40,2750,constant mu
41,trot,straight,forward,Quadruped_41,2401,random
42,trot,straight,forward,Quadruped_42,2401,constant omega
43,trot,straight,forward,Quadruped_43,2401,constant mu
44,trot,straight,forward,Quadruped_44,2689,random
45,trot,straight,forward,Quadruped_45,2401,constant omega
46,trot,straight,forward,Quadruped_46,2401,constant mu
47,trot,straight,forward,Quadruped_47,2692,random
48,trot,straight,forward,Quadruped_48,2401,constant omega
49,trot,straight,forward,Quadruped_49,2401,constant mu
50,trot,straight,forward,Quadruped_50,2401,random
51,trot,straight,forward,Quadruped_51,2401,constant omega
52,trot,straight,forward,Quadruped_52,2689,constant mu
53,trot,straight,forward,Quadruped_53,2689,random
54,trot,straight,forward,Quadruped_54,2401,constant omega
55,trot,straight,forward,Quadruped_55,2401,constant mu
56,trot,straight,forward,Quadruped_56,2728,random
57,trot,straight,forward,Quadruped_57,2401,constant omega
58,trot,straight,forward,Quadruped_58,2401,constant mu
59,trot,straight,forward,Quadruped_59,2689,random
60,trot,straight,forward,Quadruped_60,2401,constant omega
61,trot,straight,forward,Quadruped_61,2689,constant mu
62,trot,straight,forward,Quadruped_62,2689,random
63,trot,straight,forward,Quadruped_63,2401,constant omega
64,trot,straight,forward,Quadruped_64,2401,constant mu
65,trot,straight,forward,Quadruped_65,2401,random
66,trot,straight,forward,Quadruped_66,2401,constant omega
67,trot,straight,forward,Quadruped_67,2401,constant mu
68,trot,straight,forward,Quadruped_68,2401,random
69,trot,straight,forward,Quadruped_69,2401,constant omega
70,trot,straight,forward,Quadruped_70,2401,constant mu
71,trot,straight,forward,Quadruped_71,2689,random
72,trot,straight,forward,Quadruped_72,2401,constant omega
73,trot,straight,forward,Quadruped_73,2401,constant mu
74,trot,straight,forward,Quadruped_74,2401,random
75,trot,straight,forward,Quadruped_75,2401,constant omega
76,trot,straight,forward,Quadruped_76,2123,constant mu
77,trot,straight,forward,Quadruped_77,2401,random
78,trot,straight,forward,Quadruped_78,2401,constant omega
79,trot,straight,forward,Quadruped_79,2401,constant mu
80,trot,straight,forward,Quadruped_80,2401,random
81,trot,straight,forward,Quadruped_81,2401,constant omega
82,trot,straight,forward,Quadruped_82,2401,constant mu
83,trot,straight,forward,Quadruped_83,2690,random
84,trot,straight,forward,Quadruped_84,2401,constant omega
85,trot,straight,forward,Quadruped_85,2401,constant mu
86,trot,straight,forward,Quadruped_86,2689,random
87,trot,straight,forward,Quadruped_87,2401,constant omega
88,trot,straight,forward,Quadruped_88,2711,constant mu
89,trot,straight,forward,Quadruped_89,2401,random
90,trot,straight,forward,Quadruped_90,2401,constant omega
91,trot,straight,forward,Quadruped_91,2693,constant mu
92,trot,straight,forward,Quadruped_92,2401,random
93,trot,straight,forward,Quadruped_93,2401,constant omega
94,trot,straight,forward,Quadruped_94,2729,constant mu
95,trot,straight,forward,Quadruped_95,2401,random
96,trot,straight,forward,Quadruped_96,2401,constant omega
97,trot,straight,forward,Quadruped_97,2709,constant mu
98,trot,straight,forward,Quadruped_98,2401,random
99,trot,straight,forward,Quadruped_99,2401,constant omega
100,trot,straight,forward,Quadruped_100,2409,constant mu
101,trot,straight,forward,Quadruped_101,2401,random
102,trot,straight,forward,Quadruped_102,2401,constant omega
103,trot,straight,forward,Quadruped_103,2689,constant mu
